0,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
0,1,2,2e-06,264,0,60,0,0,0,1,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424254684,1424254684,0.002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,36,21,21,21,21,36
0,1,2,4e-06,264,0,60,0,0,0,1,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424261170,1424261170,0.004,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,27,27,19,19,19,19,27
0,3,3,0.011639,2542,20972,31,29,7,14,2,1703926.5,14071999.0,40,42,255,255,3712737168,1567653339,64,499,0,0,17.269548,15.163422,1424246773,1424246773,0.305784,0.2762,0.000717,0.000582,0.000135,0,0,0.0,0.0,0.0,2,3,2,2,1,1,3
0,1,2,6e-06,264,0,60,0,0,0,1,176000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424244707,1424244707,0.006,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,26,26,22,22,22,22,26
0,1,1,0.00103,146,178,31,29,0,0,1,566990.25,691262.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424260656,1424260656,0.008,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,4,2,6,2,1,1
0,3,3,1.701785,2934,3742,31,29,11,15,2,13529.32422,17266.57617,52,54,255,255,619394446,2769862213,56,69,0,0,2721.681271,81.615422,1421932552,1421932553,33.361119,32.100527,0.000565,0.000453,0.000112,0,0,0.0,0.0,0.0,13,6,1,1,1,1,1
0,3,3,0.5563600000000001,424,8824,31,29,1,4,5,5334.675293,116313.1797,8,12,255,255,374981493,1045723159,53,735,0,0,4756.450957,3753.953753,1424259385,1424259386,79.434574,50.535271,0.000598,0.00047,0.000128,0,0,0.0,0.0,0.0,2,2,4,1,1,1,2
0,3,3,0.050393,37452,3380,31,29,18,8,4,5831286.0,523882.2813,52,42,255,255,3348406315,3353565591,720,80,0,0,62.60708399999999,3.110289,1424260051,1424260051,1.0006,1.217805,0.0005809999999999,0.0004599999999999,0.000121,0,0,0.0,0.0,0.0,2,1,5,7,1,1,6
0,1,2,7.000000000000003e-06,264,0,60,0,0,0,1,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424246394,1424246394,0.0069999999999999,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,19,19,4,4,4,4,19
0,3,3,0.08535,320,1874,31,29,1,2,2,25026.36133,153719.9844,6,8,255,255,1635683167,1711946138,53,234,0,0,1191.136555,29.333248,1421955818,1421955818,17.0056,12.106714,0.000784,0.000596,0.000188,0,0,0.0,0.0,0.0,15,9,2,3,1,1,1
0,3,3,0.047967,3702,48232,31,29,7,24,2,607584.375,7914607.5,62,62,255,255,15965094,16276457,60,778,0,0,47.621622,1.3429879999999998,1424252487,1424252487,0.780557,0.777459,0.000659,0.000533,0.000126,0,0,0.0,0.0,0.0,4,2,2,3,1,1,1
1,1,2,6e-06,114,0,254,0,0,0,1,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424223641,1424223641,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,12,12,8,8,8,8,12
0,3,3,0.421008,37238,3380,31,29,18,8,4,693991.5625,62706.64844,52,42,255,255,3668047317,1520113172,716,80,0,0,705.515187,24.210852,1421938369,1421938370,8.247568,10.256536,0.000607,0.000486,0.000121,0,0,0.0,0.0,0.0,1,1,2,9,1,1,2
0,3,3,1.502045,520,354,254,252,2,1,2,2492.601807,1651.082275,10,8,255,255,2074602469,3294402160,52,44,0,0,9082.614249,382.177031,1424235348,1424235349,160.989111,189.281578,0.279525,0.177065,0.10246,0,1,0.0,0.0,0.0,2,1,1,1,1,1,1
0,3,3,1.085819,1684,10168,31,29,3,5,3,11523.09863,70759.49219,14,18,255,255,2654450167,2651332044,120,565,1,3924,8792.380573,7699.157853,1421937580,1421937581,83.497387,63.839235,0.000701,0.000547,0.000154,0,0,1.0,0.0,0.0,2,1,2,5,1,1,1
0,3,3,3.029817,24344,29348,31,29,54,67,7,64001.22266,77161.09375,230,234,255,255,4164628355,4164910309,106,125,0,0,819.116291,811.311152,1424241892,1424241895,13.288671,13.000553,0.000683,0.000559,0.000124,0,0,0.0,0.0,0.0,1,1,1,1,1,1,1
0,3,3,4.080931,18370,1087890,31,29,2,370,3,35907.49219,2129772.75,344,746,255,255,797745520,2960248831,53,1458,1,524288,715.006752,435.22082699999993,1424256160,1424256164,11.896878,5.476988,0.0006889999999999,0.000565,0.000124,0,0,1.0,0.0,0.0,1,1,4,3,1,1,1
0,3,3,1.113385,1684,10168,31,29,3,5,3,11237.80176,69007.57813,14,18,255,255,198566640,2344975414,120,565,1,3924,8815.152565999999,7718.232179,1421929634,1421929635,85.617002,65.458588,0.000741,0.000584,0.000157,0,0,1.0,0.0,0.0,2,3,2,3,1,1,1
0,1,1,0.001032,146,178,31,29,0,0,1,565891.5,689922.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424260414,1424260414,0.008,0.0069999999999999,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,1,2,1,1,1,1
0,1,1,0.001088,146,178,31,29,0,0,1,536764.6875,654411.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421969972,1421969972,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,4,2,4,2,1,1
0,3,3,0.049172,2048,2410,31,29,6,7,2,319368.75,377125.1875,24,26,255,255,942197072,942470106,85,93,0,0,219.000727,0.0,1424248927,1424248927,2.122913,1.946,0.00063,0.000516,0.0001139999999999,0,0,0.0,0.0,0.0,9,7,1,3,1,1,4
0,3,3,0.034922,2646,22432,31,29,7,14,2,591718.6875,5016436.5,42,42,255,255,1250874191,3472255620,63,534,0,0,0.0,1.61797,1421944915,1421944915,0.8432930000000001,0.839146,0.00065,0.0005139999999999,0.000136,0,0,0.0,0.0,0.0,20,15,12,20,4,4,8
0,3,3,0.0281949999999999,2958,32796,31,29,7,18,2,821989.75,9119631.0,48,50,255,255,1990351136,2001383694,62,656,0,0,36.463087,34.654521,1424253449,1424253449,0.629023,0.564918,0.00064,0.000511,0.000129,0,0,0.0,0.0,0.0,2,7,6,3,1,1,3
