round 1 : 
Candidate feature,	selected fearure,	JMI redundancy
0, 32, 0.03793694697143568
3, 32, 0.2689898458546667
5, 32, 0.31353858212203356
9, 32, 0.03251271298032288
25, 32, 0.06549388164395631
round 2 : 
Candidate feature,	selected fearure,	JMI redundancy
0, 32, 0.03793694697143568
0, 9, -0.01737643737125394
3, 32, 0.2689898458546667
3, 9, 0.01745059136425431
5, 32, 0.31353858212203356
5, 9, 0.05136880826185508
25, 32, 0.06549388164395631
25, 9, 0.02144500582981257
round 3 : 
Candidate feature,	selected fearure,	JMI redundancy
0, 32, 0.03793694697143568
0, 9, -0.01737643737125394
0, 5, 0.029062530632147365
3, 32, 0.2689898458546667
3, 9, 0.01745059136425431
3, 5, 0.1878313910860142
25, 32, 0.06549388164395631
25, 9, 0.02144500582981257
25, 5, 0.0672621052145772
round 4 : 
Candidate feature,	selected fearure,	JMI redundancy
0, 32, 0.03793694697143568
0, 9, -0.01737643737125394
0, 5, 0.029062530632147365
0, 3, -0.02198583231864748
25, 32, 0.06549388164395631
25, 9, 0.02144500582981257
25, 5, 0.0672621052145772
25, 3, 0.0480625757577724
round 5 : 
Candidate feature,	selected fearure,	JMI redundancy
0, 32, 0.03793694697143568
0, 9, -0.01737643737125394
0, 5, 0.029062530632147365
0, 3, -0.02198583231864748
0, 19, 0.028385659346903513
25, 32, 0.06549388164395631
25, 9, 0.02144500582981257
25, 5, 0.0672621052145772
25, 3, 0.0480625757577724
25, 19, 0.062054668505715505
round 6 : 
Candidate feature,	selected fearure,	JMI redundancy
0, 32, 0.03793694697143568
0, 9, -0.01737643737125394
0, 5, 0.029062530632147365
0, 3, -0.02198583231864748
0, 19, 0.028385659346903513
0, 6, -0.002788047987507536
25, 32, 0.06549388164395631
25, 9, 0.02144500582981257
25, 5, 0.0672621052145772
25, 3, 0.0480625757577724
25, 19, 0.062054668505715505
25, 6, -0.0015073076253417916
